Week,Date,Picker,Symbol,Price,Price at Pick ,Mon,Tue ,Wed ,Thur,Fri,Return 1 Week ,Return 1 Week %,Current Price,Total Return
,3/24/2025,Patrick,TSLA,$325.31,$258.08,$278.39,$288.14,$272.06,$273.13,$263.55,$5.47,2.1%,$325.31,26.1%
,3/24/2025,Taylor,BHVN,$15.46,$28.99,$31.04,$29.87,$28.86,$28.86,$27.65,-$1.34,-4.6%,$15.46,-46.7%
,3/24/2025,Logan,T,$28.19,$26.86,$26.96,$27.31,$27.65,$27.65,$28.18,$1.32,4.9%,$28.19,5.0%
,,,,,,,,,,,,,,
Winner,Logan,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
,3/31/2025,Patrick,MELI,$2371.98,$1995.99,$1950.87,$1915.00,$1934.03,$1945.55,$1841.29,-$154.70,-7.8%,$2371.98,18.8%
,3/31/2025,Taylor,AAL,$10.37,$10.41,$10.55,$10.30,$10.59,$10.59,$9.46,-$0.95,-9.1%,$10.37,-0.4%
,3/31/2025,Logan,GOOG,$175.88,$154.81,$156.23,$158.88,$158.86,$158.86,$147.74,-$7.07,-4.6%,$175.88,13.6%
,,,,,,,,,,,,,,
Winner,Logan,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
,4/7/2025,Patrick,AMZN,$212.10,$162.00,$175.26,$170.66,$191.10,$181.22,$184.87,$22.87,14.1%,$212.10,30.9%
,4/7/2025,Taylor,BA,$200.32,$132.05,$138.86,$139.39,$160.82,$160.82,$156.84,$24.79,18.8%,$200.32,51.7%
,4/7/2025,Logan,AAPL,$196.45,$177.20,$181.46,$172.42,$198.85,$198.85,$198.15,$20.95,11.8%,$196.45,10.9%
,,,,,,,,,,,,,,
Winner,Taylor,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
,4/14/2025,Patrick,GS,$613.54,$510.00,$503.98,$507.89,$499.05,$509.49,,-,-,$613.54,20.3%
,4/14/2025,Taylor,DIS,$117.94,$85.83,$84.66,$85.01,$82.77,$82.77,-,-,-,$117.94,37.4%
